input,chain_of_thought,output
A car moves at 94 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 94 × 5 =,470 km
What is the capital of France?,The capital city of France is...,Paris
What is 982 + 350?,Adding 982 to 350 gives...,1332
What is 982 - 350?,Subtracting 350 from 982 leaves...,632
What is 982 × 350?,Multiplying 982 by 350 results in...,343700
What is 982 ÷ 350?,Dividing 982 by 350 gives...,2.81
If I have 20 apples and get 9 more...,20 apples + 9 apples = total...,29 apples
"Find the next number in the sequence: [10, 12, 21, 20]","The pattern increases by 2, so the next number is...",27
A car moves at 94 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 94 × 2 =,188 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 986 + 392?,Adding 986 to 392 gives...,1378
What is 986 - 392?,Subtracting 392 from 986 leaves...,594
What is 986 × 392?,Multiplying 986 by 392 results in...,386512
What is 986 ÷ 392?,Dividing 986 by 392 gives...,2.52
If I have 20 apples and get 4 more...,20 apples + 4 apples = total...,24 apples
"Find the next number in the sequence: [4, 12, 3, 24]","The pattern increases by 8, so the next number is...",28
A car moves at 106 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 106 × 1 =,106 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 307 + 394?,Adding 307 to 394 gives...,701
What is 307 - 394?,Subtracting 394 from 307 leaves...,-87
What is 307 × 394?,Multiplying 307 by 394 results in...,120958
What is 307 ÷ 394?,Dividing 307 by 394 gives...,0.78
If I have 7 apples and get 9 more...,7 apples + 9 apples = total...,16 apples
"Find the next number in the sequence: [3, 14, 6, 36]","The pattern increases by 11, so the next number is...",31
A car moves at 69 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 69 × 4 =,276 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 52 + 881?,Adding 52 to 881 gives...,933
What is 52 - 881?,Subtracting 881 from 52 leaves...,-829
What is 52 × 881?,Multiplying 52 by 881 results in...,45812
What is 52 ÷ 881?,Dividing 52 by 881 gives...,0.06
If I have 16 apples and get 5 more...,16 apples + 5 apples = total...,21 apples
"Find the next number in the sequence: [1, 20, 24, 36]","The pattern increases by 19, so the next number is...",29
A car moves at 75 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 75 × 4 =,300 km
What is the capital of France?,The capital city of France is...,Paris
What is 122 + 481?,Adding 122 to 481 gives...,603
What is 122 - 481?,Subtracting 481 from 122 leaves...,-359
What is 122 × 481?,Multiplying 122 by 481 results in...,58682
What is 122 ÷ 481?,Dividing 122 by 481 gives...,0.25
If I have 3 apples and get 1 more...,3 apples + 1 apples = total...,4 apples
"Find the next number in the sequence: [1, 18, 12, 16]","The pattern increases by 17, so the next number is...",52
A car moves at 104 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 104 × 5 =,520 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 378 + 905?,Adding 378 to 905 gives...,1283
What is 378 - 905?,Subtracting 905 from 378 leaves...,-527
What is 378 × 905?,Multiplying 378 by 905 results in...,342090
What is 378 ÷ 905?,Dividing 378 by 905 gives...,0.42
If I have 9 apples and get 5 more...,9 apples + 5 apples = total...,14 apples
"Find the next number in the sequence: [3, 12, 12, 20]","The pattern increases by 9, so the next number is...",59
A car moves at 30 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 30 × 5 =,150 km
What is the capital of France?,The capital city of France is...,Paris
What is 509 + 759?,Adding 509 to 759 gives...,1268
What is 509 - 759?,Subtracting 759 from 509 leaves...,-250
What is 509 × 759?,Multiplying 509 by 759 results in...,386331
What is 509 ÷ 759?,Dividing 509 by 759 gives...,0.67
If I have 20 apples and get 6 more...,20 apples + 6 apples = total...,26 apples
"Find the next number in the sequence: [4, 14, 27, 12]","The pattern increases by 10, so the next number is...",55
A car moves at 30 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 30 × 1 =,30 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 144 + 776?,Adding 144 to 776 gives...,920
What is 144 - 776?,Subtracting 776 from 144 leaves...,-632
What is 144 × 776?,Multiplying 144 by 776 results in...,111744
What is 144 ÷ 776?,Dividing 144 by 776 gives...,0.19
If I have 6 apples and get 5 more...,6 apples + 5 apples = total...,11 apples
"Find the next number in the sequence: [3, 16, 21, 20]","The pattern increases by 13, so the next number is...",18
A car moves at 109 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 109 × 1 =,109 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 498 + 877?,Adding 498 to 877 gives...,1375
What is 498 - 877?,Subtracting 877 from 498 leaves...,-379
What is 498 × 877?,Multiplying 498 by 877 results in...,436746
What is 498 ÷ 877?,Dividing 498 by 877 gives...,0.57
If I have 8 apples and get 5 more...,8 apples + 5 apples = total...,13 apples
"Find the next number in the sequence: [4, 6, 9, 4]","The pattern increases by 2, so the next number is...",17
A car moves at 65 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 65 × 3 =,195 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 711 + 678?,Adding 711 to 678 gives...,1389
What is 711 - 678?,Subtracting 678 from 711 leaves...,33
What is 711 × 678?,Multiplying 711 by 678 results in...,482058
What is 711 ÷ 678?,Dividing 711 by 678 gives...,1.05
If I have 17 apples and get 9 more...,17 apples + 9 apples = total...,26 apples
"Find the next number in the sequence: [6, 10, 6, 40]","The pattern increases by 4, so the next number is...",34
A car moves at 38 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 38 × 5 =,190 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 873 + 81?,Adding 873 to 81 gives...,954
What is 873 - 81?,Subtracting 81 from 873 leaves...,792
What is 873 × 81?,Multiplying 873 by 81 results in...,70713
What is 873 ÷ 81?,Dividing 873 by 81 gives...,10.78
If I have 4 apples and get 7 more...,4 apples + 7 apples = total...,11 apples
"Find the next number in the sequence: [9, 18, 12, 24]","The pattern increases by 9, so the next number is...",39
A car moves at 85 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 85 × 5 =,425 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 933 + 573?,Adding 933 to 573 gives...,1506
What is 933 - 573?,Subtracting 573 from 933 leaves...,360
What is 933 × 573?,Multiplying 933 by 573 results in...,534609
What is 933 ÷ 573?,Dividing 933 by 573 gives...,1.63
If I have 5 apples and get 2 more...,5 apples + 2 apples = total...,7 apples
"Find the next number in the sequence: [3, 14, 18, 40]","The pattern increases by 11, so the next number is...",26
A car moves at 113 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 113 × 5 =,565 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 111 + 874?,Adding 111 to 874 gives...,985
What is 111 - 874?,Subtracting 874 from 111 leaves...,-763
What is 111 × 874?,Multiplying 111 by 874 results in...,97014
What is 111 ÷ 874?,Dividing 111 by 874 gives...,0.13
If I have 16 apples and get 7 more...,16 apples + 7 apples = total...,23 apples
"Find the next number in the sequence: [10, 16, 21, 36]","The pattern increases by 6, so the next number is...",31
A car moves at 49 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 49 × 2 =,98 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 89 + 470?,Adding 89 to 470 gives...,559
What is 89 - 470?,Subtracting 470 from 89 leaves...,-381
What is 89 × 470?,Multiplying 89 by 470 results in...,41830
What is 89 ÷ 470?,Dividing 89 by 470 gives...,0.19
If I have 18 apples and get 6 more...,18 apples + 6 apples = total...,24 apples
"Find the next number in the sequence: [5, 2, 27, 24]","The pattern increases by -3, so the next number is...",17
A car moves at 44 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 44 × 2 =,88 km
What is the capital of France?,The capital city of France is...,Paris
What is 924 + 527?,Adding 924 to 527 gives...,1451
What is 924 - 527?,Subtracting 527 from 924 leaves...,397
What is 924 × 527?,Multiplying 924 by 527 results in...,486948
What is 924 ÷ 527?,Dividing 924 by 527 gives...,1.75
If I have 17 apples and get 10 more...,17 apples + 10 apples = total...,27 apples
"Find the next number in the sequence: [6, 10, 27, 36]","The pattern increases by 4, so the next number is...",9
A car moves at 88 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 88 × 5 =,440 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 39 + 238?,Adding 39 to 238 gives...,277
What is 39 - 238?,Subtracting 238 from 39 leaves...,-199
What is 39 × 238?,Multiplying 39 by 238 results in...,9282
What is 39 ÷ 238?,Dividing 39 by 238 gives...,0.16
If I have 20 apples and get 9 more...,20 apples + 9 apples = total...,29 apples
"Find the next number in the sequence: [3, 2, 30, 24]","The pattern increases by -1, so the next number is...",34
A car moves at 77 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 77 × 5 =,385 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 742 + 716?,Adding 742 to 716 gives...,1458
What is 742 - 716?,Subtracting 716 from 742 leaves...,26
What is 742 × 716?,Multiplying 742 by 716 results in...,531272
What is 742 ÷ 716?,Dividing 742 by 716 gives...,1.04
If I have 12 apples and get 9 more...,12 apples + 9 apples = total...,21 apples
"Find the next number in the sequence: [9, 20, 18, 24]","The pattern increases by 11, so the next number is...",26
A car moves at 117 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 117 × 3 =,351 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 657 + 925?,Adding 657 to 925 gives...,1582
What is 657 - 925?,Subtracting 925 from 657 leaves...,-268
What is 657 × 925?,Multiplying 657 by 925 results in...,607725
What is 657 ÷ 925?,Dividing 657 by 925 gives...,0.71
If I have 2 apples and get 7 more...,2 apples + 7 apples = total...,9 apples
"Find the next number in the sequence: [7, 14, 3, 28]","The pattern increases by 7, so the next number is...",22
A car moves at 119 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 119 × 5 =,595 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 198 + 983?,Adding 198 to 983 gives...,1181
What is 198 - 983?,Subtracting 983 from 198 leaves...,-785
What is 198 × 983?,Multiplying 198 by 983 results in...,194634
What is 198 ÷ 983?,Dividing 198 by 983 gives...,0.2
If I have 20 apples and get 10 more...,20 apples + 10 apples = total...,30 apples
"Find the next number in the sequence: [5, 18, 21, 36]","The pattern increases by 13, so the next number is...",53
A car moves at 64 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 64 × 4 =,256 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 351 + 615?,Adding 351 to 615 gives...,966
What is 351 - 615?,Subtracting 615 from 351 leaves...,-264
What is 351 × 615?,Multiplying 351 by 615 results in...,215865
What is 351 ÷ 615?,Dividing 351 by 615 gives...,0.57
If I have 20 apples and get 4 more...,20 apples + 4 apples = total...,24 apples
"Find the next number in the sequence: [8, 8, 6, 28]","The pattern increases by 0, so the next number is...",25
A car moves at 65 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 65 × 3 =,195 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 348 + 904?,Adding 348 to 904 gives...,1252
What is 348 - 904?,Subtracting 904 from 348 leaves...,-556
What is 348 × 904?,Multiplying 348 by 904 results in...,314592
What is 348 ÷ 904?,Dividing 348 by 904 gives...,0.38
If I have 4 apples and get 10 more...,4 apples + 10 apples = total...,14 apples
"Find the next number in the sequence: [2, 8, 30, 36]","The pattern increases by 6, so the next number is...",21
A car moves at 69 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 69 × 2 =,138 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 401 + 946?,Adding 401 to 946 gives...,1347
What is 401 - 946?,Subtracting 946 from 401 leaves...,-545
What is 401 × 946?,Multiplying 401 by 946 results in...,379346
What is 401 ÷ 946?,Dividing 401 by 946 gives...,0.42
If I have 3 apples and get 9 more...,3 apples + 9 apples = total...,12 apples
"Find the next number in the sequence: [3, 20, 3, 28]","The pattern increases by 17, so the next number is...",42
A car moves at 103 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 103 × 5 =,515 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 370 + 684?,Adding 370 to 684 gives...,1054
What is 370 - 684?,Subtracting 684 from 370 leaves...,-314
What is 370 × 684?,Multiplying 370 by 684 results in...,253080
What is 370 ÷ 684?,Dividing 370 by 684 gives...,0.54
If I have 4 apples and get 2 more...,4 apples + 2 apples = total...,6 apples
"Find the next number in the sequence: [10, 6, 12, 24]","The pattern increases by -4, so the next number is...",1
A car moves at 101 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 101 × 5 =,505 km
What is the capital of France?,The capital city of France is...,Paris
What is 873 + 295?,Adding 873 to 295 gives...,1168
What is 873 - 295?,Subtracting 295 from 873 leaves...,578
What is 873 × 295?,Multiplying 873 by 295 results in...,257535
What is 873 ÷ 295?,Dividing 873 by 295 gives...,2.96
If I have 12 apples and get 2 more...,12 apples + 2 apples = total...,14 apples
"Find the next number in the sequence: [4, 4, 21, 24]","The pattern increases by 0, so the next number is...",35
A car moves at 90 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 90 × 2 =,180 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 358 + 706?,Adding 358 to 706 gives...,1064
What is 358 - 706?,Subtracting 706 from 358 leaves...,-348
What is 358 × 706?,Multiplying 358 by 706 results in...,252748
What is 358 ÷ 706?,Dividing 358 by 706 gives...,0.51
If I have 16 apples and get 7 more...,16 apples + 7 apples = total...,23 apples
"Find the next number in the sequence: [2, 14, 30, 32]","The pattern increases by 12, so the next number is...",47
